SampleID,PlotID,Irrigation,Treatment,Type,var,var2,Date,Weight_moist_g,DNA_conc_ng_uL,GWC_g_g,,,,
1,1,Control,M,BS,CMBS1,CMBS,4/28/22,0.249,13.9,0.338,,,,
2,2,Rainout,M,BS,RMBS1,RMBS,4/28/22,0.249,16.8,0.095,,,,
3,3,Control,D,BS,CDBS1,CDBS,4/28/22,0.253,17.1,0.344,,,,
4,4,Rainout,D,BS,RDBS1,RDBS,4/28/22,0.251,22.3,0.13,,,,
5,5,Control,K,BS,CKBS1,CKBS,4/28/22,0.25,16.7,0.345,,,,
6,6,Rainout,K,BS,RKBS1,RKBS,4/28/22,0.253,17.9,0.105,,,,
7,7,Control,K,BS,CKBS2,CKBS,4/28/22,0.249,18.6,0.331,,,,
8,8,Rainout,K,BS,RKBS2,RKBS,4/28/22,0.254,20.4,0.096,,,,
9,9,Control,M,BS,CMBS2,CMBS,4/28/22,0.253,19.7,0.305,,,,
10,10,Rainout,M,BS,RMBS2,RMBS,4/28/22,0.25,21.3,0.091,,,,
11,11,Control,D,BS,CDBS2,CDBS,4/28/22,0.25,24.5,0.323,,,,
12,12,Rainout,D,BS,RDBS2,RDBS,4/28/22,0.252,26.1,0.126,,,,
13,13,Control,D,BS,CDBS3,CDBS,4/28/22,0.249,36.5,0.323,,,,
14,14,Rainout,D,BS,RDBS3,RDBS,4/28/22,0.251,58.5,0.138,,,,
15,15,Control,M,BS,CMBS3,CMBS,4/28/22,0.251,32.5,0.324,,,,
16,16,Rainout,M,BS,RMBS3,RMBS,4/28/22,0.253,38,0.121,,,,
17,17,Control,K,BS,CKBS3,CKBS,4/28/22,0.254,51.4,0.314,,,,
18,18,Rainout,K,BS,RKBS3,RKBS,4/28/22,0.249,50.9,0.098,,,,
19,19,Control,K,BS,CKBS4,CKBS,4/28/22,0.252,52.4,0.307,,,,
20,20,Rainout,K,BS,RKBS4,RKBS,4/28/22,0.25,49.8,0.087,,,,
21,21,Control,D,BS,CDBS4,CDBS,4/28/22,0.254,66.8,0.351,,,,
22,22,Rainout,D,BS,RDBS4,RDBS,4/28/22,0.25,69.5,0.166,,,,
23,23,Control,M,BS,CMBS4,CMBS,4/28/22,0.25,43.6,0.314,,,,
24,24,Rainout,M,BS,RMBS4,RMBS,4/28/22,0.252,66.9,0.148,,,,
25,1,Control,M,BS,CMBS1,CMBS,6/1/22,0.251,25,0.184,,,,
26,2,Rainout,M,BS,RMBS1,RMBS,6/1/22,0.25,23.2,0.079,,,,
27,3,Control,D,BS,CDBS1,CDBS,6/1/22,0.254,28.3,0.213,,,,
28,4,Rainout,D,BS,RDBS1,RDBS,6/1/22,0.254,26.1,0.088,,,,
29,5,Control,K,BS,CKBS1,CKBS,6/1/22,0.249,27.9,0.172,,,,
30,6,Rainout,K,BS,RKBS1,RKBS,6/1/22,0.25,26.1,0.075,,,,
31,7,Control,K,BS,CKBS2,CKBS,6/1/22,0.252,26.9,0.218,,,,
32,8,Rainout,K,BS,RKBS2,RKBS,6/1/22,0.25,26.8,0.066,,,,
33,9,Control,M,BS,CMBS2,CMBS,6/1/22,0.248,27,0.184,,,,
34,10,Rainout,M,BS,RMBS2,RMBS,6/1/22,0.252,30.1,0.066,,,,
35,11,Control,D,BS,CDBS2,CDBS,6/1/22,0.253,31.1,0.179,,,,
36,12,Rainout,D,BS,RDBS2,RDBS,6/1/22,0.254,31.1,0.089,,,,
37,13,Control,D,BS,CDBS3,CDBS,6/1/22,0.253,36.5,0.191,,,,
38,14,Rainout,D,BS,RDBS3,RDBS,6/1/22,0.253,39.2,0.095,,,,
39,15,Control,M,BS,CMBS3,CMBS,6/1/22,0.251,35.4,0.208,,,,
40,16,Rainout,M,BS,RMBS3,RMBS,6/1/22,0.253,22.5,0.082,,,,
41,17,Control,K,BS,CKBS3,CKBS,6/1/22,0.252,38.8,0.185,,,,
42,18,Rainout,K,BS,RKBS3,RKBS,6/1/22,0.249,41.3,0.078,,,,
43,19,Control,K,BS,CKBS4,CKBS,6/1/22,0.249,34.5,0.191,,,,
44,20,Rainout,K,BS,RKBS4,RKBS,6/1/22,0.253,35.6,0.073,,,,
45,21,Control,D,BS,CDBS4,CDBS,6/1/22,0.254,38.1,0.211,,,,
46,22,Rainout,D,BS,RDBS4,RDBS,6/1/22,0.253,41,0.121,,,,
47,23,Control,M,BS,CMBS4,CMBS,6/1/22,0.25,37.3,0.098,,,,
48,24,Rainout,M,BS,RMBS4,RMBS,6/1/22,0.252,44.4,0.108,,,,
49,1,Control,M,BS,CMBS1,CMBS,7/5/22,0.249,82.3,0.263,,,,
50,2,Rainout,M,BS,RMBS1,RMBS,7/5/22,0.249,87.6,0.054,,,,
51,3,Control,D,BS,CDBS1,CDBS,7/5/22,0.248,102.2,0.272,,,,
52,4,Rainout,D,BS,RDBS1,RDBS,7/5/22,0.249,113.8,0.063,,,,
53,5,Control,K,BS,CKBS1,CKBS,7/5/22,0.252,77.6,0.277,,,,
54,6,Rainout,K,BS,RKBS1,RKBS,7/5/22,0.251,112.3,0.062,,,,
55,7,Control,K,BS,CKBS2,CKBS,7/5/22,0.249,112.5,0.276,,,,
56,8,Rainout,K,BS,RKBS2,RKBS,7/5/22,0.25,83.9,0.047,,,,
57,9,Control,M,BS,CMBS2,CMBS,7/5/22,0.253,72.3,0.253,,,,
58,10,Rainout,M,BS,RMBS2,RMBS,7/5/22,0.251,69.2,0.056,,,,
59,11,Control,D,BS,CDBS2,CDBS,7/5/22,0.252,95.1,0.262,,,,
60,12,Rainout,D,BS,RDBS2,RDBS,7/5/22,0.252,129.1,0.063,,,,
61,13,Control,D,BS,CDBS3,CDBS,7/5/22,0.252,105.2,0.287,,,,
62,14,Rainout,D,BS,RDBS3,RDBS,7/5/22,0.249,124.3,0.087,,,,
63,15,Control,M,BS,CMBS3,CMBS,7/5/22,0.254,53,0.294,,,,
64,16,Rainout,M,BS,RMBS3,RMBS,7/5/22,0.254,52.8,0.076,,,,
65,17,Control,K,BS,CKBS3,CKBS,7/5/22,0.248,79.2,0.278,,,,
66,18,Rainout,K,BS,RKBS3,RKBS,7/5/22,0.252,109.8,0.084,,,,
67,19,Control,K,BS,CKBS4,CKBS,7/5/22,0.252,86.7,0.259,,,,
68,20,Rainout,K,BS,RKBS4,RKBS,7/5/22,0.251,84.2,0.055,,,,
69,21,Control,D,BS,CDBS4,CDBS,7/5/22,0.252,120,0.294,,,,
70,22,Rainout,D,BS,RDBS4,RDBS,7/5/22,0.248,153.7,0.105,,,,
71,23,Control,M,BS,CMBS4,CMBS,7/5/22,0.251,81,0.296,,,,
72,24,Rainout,M,BS,RMBS4,RMBS,7/5/22,0.254,108.7,0.091,,,,
73,1,Control,M,BS,CMBS1,CMBS,7/20/22,0.252,82.8,0.237,,,,
74,2,Rainout,M,BS,RMBS1,RMBS,7/20/22,0.25,67.6,0.174,,,,
75,3,Control,D,BS,CDBS1,CDBS,7/20/22,0.252,99.6,0.255,,,,
76,4,Rainout,D,BS,RDBS1,RDBS,7/20/22,0.252,96,0.192,,,,
77,5,Control,K,BS,CKBS1,CKBS,7/20/22,0.253,82.5,0.262,,,,
78,6,Rainout,K,BS,RKBS1,RKBS,7/20/22,0.248,95.3,0.161,,,,
79,7,Control,K,BS,CKBS2,CKBS,7/20/22,0.251,87.4,0.243,,,,
80,8,Rainout,K,BS,RKBS2,RKBS,7/20/22,0.251,90.3,0.167,,,,
81,9,Control,M,BS,CMBS2,CMBS,7/20/22,0.25,52.4,0.286,,,,
82,10,Rainout,M,BS,RMBS2,RMBS,7/20/22,0.248,62.3,0.162,,,,
83,11,Control,D,BS,CDBS2,CDBS,7/20/22,0.252,106.5,0.266,,,,
84,12,Rainout,D,BS,RDBS2,RDBS,7/20/22,0.249,105.5,0.184,,,,
85,13,Control,D,BS,CDBS3,CDBS,7/20/22,0.251,116.4,0.281,,,,
86,14,Rainout,D,BS,RDBS3,RDBS,7/20/22,0.252,111.8,0.175,,,,
87,15,Control,M,BS,CMBS3,CMBS,7/20/22,0.249,61.7,0.212,,,,
88,16,Rainout,M,BS,RMBS3,RMBS,7/20/22,0.248,60.5,0.155,,,,
89,17,Control,K,BS,CKBS3,CKBS,7/20/22,0.249,86.2,0.248,,,,
90,18,Rainout,K,BS,RKBS3,RKBS,7/20/22,0.25,76.2,0.156,,,,
91,19,Control,K,BS,CKBS4,CKBS,7/20/22,0.252,79.7,0.239,,,,
92,20,Rainout,K,BS,RKBS4,RKBS,7/20/22,0.248,91.6,0.159,,,,
93,21,Control,D,BS,CDBS4,CDBS,7/20/22,0.25,134.4,0.29,,,,
94,22,Rainout,D,BS,RDBS4,RDBS,7/20/22,0.248,118.5,0.195,,,,
95,23,Control,M,BS,CMBS4,CMBS,7/20/22,0.251,97.2,0.254,,,,
96,24,Rainout,M,BS,RMBS4,RMBS,7/20/22,0.25,90.2,0.184,,,,
97,1,Control,M,BS,CMBS1,CMBS,9/13/22,0.249,97.6,0.283,,,,
98,2,Rainout,M,BS,RMBS1,RMBS,9/13/22,0.248,69.2,0.304,,,,
99,3,Control,D,BS,CDBS1,CDBS,9/13/22,0.25,107.2,0.286,,,,
100,4,Rainout,D,BS,RDBS1,RDBS,9/13/22,0.249,108.2,0.281,,,,
101,5,Control,K,BS,CKBS1,CKBS,9/13/22,0.251,73.4,0.317,,,,
102,6,Rainout,K,BS,RKBS1,RKBS,9/13/22,0.248,69,0.276,,,,
103,7,Control,K,BS,CKBS2,CKBS,9/13/22,0.252,76.3,0.314,,,,
104,8,Rainout,K,BS,RKBS2,RKBS,9/13/22,0.25,68,0.267,,,,
105,9,Control,M,BS,CMBS2,CMBS,9/13/22,0.248,59.9,0.263,,,,
106,10,Rainout,M,BS,RMBS2,RMBS,9/13/22,0.252,63.8,0.244,,,,
107,11,Control,D,BS,CDBS2,CDBS,9/13/22,0.251,105.4,0.299,,,,
108,12,Rainout,D,BS,RDBS2,RDBS,9/13/22,0.25,100.7,0.314,,,,
109,13,Control,D,BS,CDBS3,CDBS,9/13/22,0.248,107.8,0.301,,,,
110,14,Rainout,D,BS,RDBS3,RDBS,9/13/22,0.249,110.5,0.299,,,,
111,15,Control,M,BS,CMBS3,CMBS,9/13/22,0.25,51.2,0.256,,,,
